CMDLINE poetry run zenithgui
MEM 4.625000 1759778425.6482
MEM 19.125000 1759778425.7485
MEM 22.000000 1759778425.8488
MEM 26.875000 1759778425.9490
MEM 33.500000 1759778426.0492
MEM 43.000000 1759778426.1495
MEM 49.125000 1759778426.2498
MEM 9.500000 1759778426.3500
MEM 25.125000 1759778426.4503
MEM 39.605469 1759778426.5505
MEM 47.277344 1759778426.6508
MEM 54.277344 1759778426.7510
MEM 62.507812 1759778426.8512
MEM 72.285156 1759778426.9515
MEM 79.785156 1759778427.0518
MEM 88.535156 1759778427.1520
MEM 103.285156 1759778427.2523
MEM 111.035156 1759778427.3526
MEM 117.910156 1759778427.4531
MEM 125.035156 1759778427.5534
MEM 133.285156 1759778427.6538
MEM 136.660156 1759778427.7542
MEM 136.660156 1759778427.8545
MEM 136.660156 1759778427.9551
MEM 136.660156 1759778428.0557
MEM 136.660156 1759778428.1561
MEM 136.660156 1759778428.2565
MEM 136.660156 1759778428.3569
MEM 136.660156 1759778428.4573
MEM 136.660156 1759778428.5579
MEM 136.660156 1759778428.6582
MEM 136.660156 1759778428.7585
MEM 136.660156 1759778428.8589
MEM 136.660156 1759778428.9594
MEM 136.660156 1759778429.0598
MEM 136.660156 1759778429.1600
MEM 136.660156 1759778429.2603
MEM 136.660156 1759778429.3606
MEM 136.660156 1759778429.4611
MEM 136.660156 1759778429.5618
MEM 136.660156 1759778429.6621
MEM 136.660156 1759778429.7627
MEM 136.660156 1759778429.8633
MEM 136.660156 1759778429.9637
MEM 136.660156 1759778430.0640
MEM 136.660156 1759778430.1643
MEM 136.660156 1759778430.2647
MEM 137.035156 1759778430.3650
MEM 140.410156 1759778430.4652
MEM 143.285156 1759778430.5655
MEM 146.660156 1759778430.6659
MEM 150.660156 1759778430.7662
MEM 154.410156 1759778430.8664
MEM 157.535156 1759778430.9667
MEM 160.035156 1759778431.0670
MEM 163.160156 1759778431.1673
MEM 166.410156 1759778431.2676
MEM 169.785156 1759778431.3678
MEM 172.535156 1759778431.4681
MEM 175.285156 1759778431.5685
MEM 177.660156 1759778431.6688
MEM 181.410156 1759778431.7691
MEM 185.410156 1759778431.8693
MEM 189.285156 1759778431.9696
MEM 191.910156 1759778432.0699
MEM 195.785156 1759778432.1701
MEM 199.535156 1759778432.2704
MEM 203.535156 1759778432.3707
MEM 207.410156 1759778432.4709
MEM 210.035156 1759778432.5712
MEM 214.035156 1759778432.6715
MEM 218.160156 1759778432.7718
MEM 221.660156 1759778432.8720
MEM 225.535156 1759778432.9723
MEM 229.285156 1759778433.0726
MEM 231.535156 1759778433.1728
MEM 235.410156 1759778433.2731
MEM 239.285156 1759778433.3734
MEM 243.285156 1759778433.4736
MEM 247.285156 1759778433.5739
